player_name,events,description,b_arm,p_arm,bb_type,balls,strikes,outs_when_up,inning,hit_distance_sc,launch_speed,pitch_speed,spin_rate,pitch_name,win_exp,team
"Gil, Luis",strikeout_looking,called_strike,R,R,,3,2,2,6,0.0,,92.6,1687.0,Changeup,0.969,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,2,2,1,6,0.0,,93.5,1603.0,Changeup,0.957,Yankees
"Gil, Luis",single,hit_into_play,R,R,ground_ball,2,1,1,6,23.0,108.5,86.0,2463.0,Slider,0.968,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,1,2,0,6,0.0,,87.9,2629.0,Slider,0.958,Yankees
"Gil, Luis",strikeout_swinging,foul_tip,L,R,,2,2,2,5,0.0,,98.0,2533.0,4-Seam Fastball,0.9319999999999999,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,2,2,1,5,0.0,,94.4,1738.0,Changeup,0.921,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,2,2,0,5,0.0,,98.6,2480.0,4-Seam Fastball,0.905,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,0,2,2,4,0.0,,98.9,2498.0,4-Seam Fastball,0.913,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,1,2,1,4,0.0,,99.4,2490.0,4-Seam Fastball,0.902,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,1,2,0,4,0.0,,97.7,2485.0,4-Seam Fastball,0.886,Yankees
"Gil, Luis",fly_out,hit_into_play,L,R,fly_ball,0,0,2,3,193.0,78.9,96.6,2534.0,4-Seam Fastball,0.839,Yankees
"Gil, Luis",pop_out,hit_into_play,R,R,popup,0,0,1,3,124.0,90.2,86.9,2568.0,Slider,0.825,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike_blocked,R,R,,1,2,0,3,0.0,,88.9,2610.0,Slider,0.8049999999999999,Yankees
